"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","205.25","205.25","205.25","205.25","-","1.06%"
"Nov 07, 2019","203.09","203.09","203.09","203.09","-","0.23%"
"Nov 06, 2019","202.62","202.62","202.62","202.62","-","0.48%"
"Nov 05, 2019","201.65","201.65","201.65","201.65","-","-0.62%"
"Nov 04, 2019","202.90","202.90","202.90","202.90","-","-1.38%"
"Nov 01, 2019","205.74","205.74","205.74","205.74","-","1.30%"
"Oct 31, 2019","203.09","203.09","203.09","203.09","-","2.03%"
"Oct 30, 2019","199.04","199.04","199.04","199.04","-","-0.02%"
"Oct 29, 2019","199.08","199.08","199.08","199.08","-","-0.77%"
"Oct 28, 2019","200.62","200.62","200.62","200.62","-","-0.77%"
"Oct 25, 2019","202.17","202.17","202.17","202.17","-","0.48%"
"Oct 24, 2019","201.21","201.21","201.21","201.21","-","-0.51%"
"Oct 23, 2019","202.25","202.25","202.25","202.25","-","-0.95%"
"Oct 22, 2019","204.19","204.19","204.19","204.19","-","-1.04%"
"Oct 21, 2019","206.33","206.33","206.33","206.33","-","-0.99%"
"Oct 18, 2019","208.39","208.39","208.39","208.39","-","1.94%"
"Oct 17, 2019","204.42","204.42","204.42","204.42","-","-1.23%"
"Oct 16, 2019","206.97","206.97","206.97","206.97","-","1.20%"
"Oct 15, 2019","204.51","204.51","204.51","204.51","-","0.47%"
"Oct 14, 2019","203.55","203.55","203.55","203.55","-","-0.51%"
"Oct 11, 2019","204.59","204.59","204.59","204.59","-","-0.41%"
"Oct 10, 2019","205.44","205.44","205.44","205.44","-","0.37%"
"Oct 09, 2019","204.68","204.68","204.68","204.68","-","-1.23%"
"Oct 08, 2019","207.23","207.23","207.23","207.23","-","-1.67%"
"Oct 07, 2019","210.74","210.74","210.74","210.74","-","2.79%"
"Oct 04, 2019","205.01","205.01","205.01","205.01","-","0.08%"
"Oct 03, 2019","204.85","204.85","204.85","204.85","-","-2.41%"
"Oct 02, 2019","209.91","209.91","209.91","209.91","-","0.46%"
"Oct 01, 2019","208.95","208.95","208.95","208.95","-","2.43%"
"Sep 30, 2019","204.00","204.00","204.00","204.00","-","-4.02%"
"Sep 27, 2019","212.54","212.54","212.54","212.54","-","-2.10%"
"Sep 26, 2019","217.09","217.09","217.09","217.09","-","-2.49%"
"Sep 25, 2019","222.64","222.64","222.64","222.64","-","-0.29%"
"Sep 24, 2019","223.29","223.29","223.29","223.29","-","2.79%"
"Sep 23, 2019","217.23","217.23","217.23","217.23","-","1.62%"
"Sep 20, 2019","213.77","213.77","213.77","213.77","-","1.16%"
"Sep 19, 2019","211.31","211.31","211.31","211.31","-","1.66%"
"Sep 18, 2019","207.85","207.85","207.85","207.85","-","0.65%"
"Sep 17, 2019","206.50","206.50","206.50","206.50","-","-1.41%"
"Sep 16, 2019","209.45","209.45","209.45","209.45","-","2.18%"
"Sep 13, 2019","204.99","204.99","204.99","204.99","-","-0.01%"
"Sep 12, 2019","205.02","205.02","205.02","205.02","-","1.46%"
"Sep 11, 2019","202.07","202.07","202.07","202.07","-","-0.02%"
"Sep 10, 2019","202.12","202.12","202.12","202.12","-","0.98%"
"Sep 09, 2019","200.16","200.16","200.16","200.16","-","0.23%"
"Sep 06, 2019","199.71","199.71","199.71","199.71","-","-1.99%"
"Sep 05, 2019","203.76","203.76","203.76","203.76","-","-2.71%"
"Sep 04, 2019","209.43","209.43","209.43","209.43","-","-1.16%"
"Sep 03, 2019","211.89","211.89","211.89","211.89","-","0.17%"
"Sep 02, 2019","211.53","211.53","211.53","211.53","-","-0.32%"
"Aug 30, 2019","212.20","212.20","212.20","212.20","-","-3.17%"
"Aug 29, 2019","219.15","219.15","219.15","219.15","-","0.02%"
"Aug 28, 2019","219.10","219.10","219.10","219.10","-","-2.64%"
"Aug 27, 2019","225.05","225.05","225.05","225.05","-","2.20%"
"Aug 26, 2019","220.20","220.20","220.20","220.20","-","-2.02%"
"Aug 23, 2019","224.75","224.75","224.75","224.75","-","1.15%"
"Aug 22, 2019","222.20","222.20","222.20","222.20","-","3.96%"
"Aug 21, 2019","213.74","213.74","213.74","213.74","-","0.16%"
"Aug 20, 2019","213.39","213.39","213.39","213.39","-","4.13%"
"Aug 19, 2019","204.92","204.92","204.92","204.92","-","0.22%"
"Aug 16, 2019","204.47","204.47","204.47","204.47","-","-0.99%"
"Aug 15, 2019","206.52","206.52","206.52","206.52","-","-2.39%"
"Aug 14, 2019","211.58","211.58","211.58","211.58","-","2.65%"
"Aug 13, 2019","206.12","206.12","206.12","206.12","-","-1.22%"
"Aug 12, 2019","208.66","208.66","208.66","208.66","-","1.44%"
"Aug 09, 2019","205.70","205.70","205.70","205.70","-","-1.23%"
"Aug 08, 2019","208.26","208.26","208.26","208.26","-","-0.26%"
"Aug 07, 2019","208.81","208.81","208.81","208.81","-","7.78%"
"Aug 06, 2019","193.74","193.74","193.74","193.74","-","1.80%"
"Aug 05, 2019","190.32","190.32","190.32","190.32","-","3.44%"
"Aug 02, 2019","183.99","183.99","183.99","183.99","-","0.89%"
"Aug 01, 2019","182.37","182.37","182.37","182.37","-","1.37%"
"Jul 31, 2019","179.90","179.90","179.90","179.90","-","-0.90%"
"Jul 30, 2019","181.53","181.53","181.53","181.53","-","-0.20%"
"Jul 29, 2019","181.89","181.89","181.89","181.89","-","1.82%"
"Jul 26, 2019","178.63","178.63","178.63","178.63","-","-0.58%"
"Jul 25, 2019","179.68","179.68","179.68","179.68","-","1.27%"
"Jul 24, 2019","177.42","177.42","177.42","177.42","-","0.66%"
"Jul 23, 2019","176.26","176.26","176.26","176.26","-","-1.70%"
"Jul 22, 2019","179.31","179.31","179.31","179.31","-","1.11%"
"Jul 19, 2019","177.35","177.35","177.35","177.35","-","0.54%"
"Jul 18, 2019","176.39","176.39","176.39","176.39","-","0.26%"
"Jul 17, 2019","175.93","175.93","175.93","175.93","-","2.24%"
"Jul 16, 2019","172.07","172.07","172.07","172.07","-","-0.43%"
"Jul 15, 2019","172.81","172.81","172.81","172.81","-","-1.85%"
"Jul 12, 2019","176.06","176.06","176.06","176.06","-","0.26%"
"Jul 11, 2019","175.60","175.60","175.60","175.60","-","1.13%"
"Jul 10, 2019","173.64","173.64","173.64","173.64","-","1.06%"
"Jul 08, 2019","171.82","171.82","171.82","171.82","-","-1.12%"
"Jul 05, 2019","173.77","173.77","173.77","173.77","-","0.50%"
"Jul 04, 2019","172.91","172.91","172.91","172.91","-","-1.68%"
"Jul 03, 2019","175.86","175.86","175.86","175.86","-","0.84%"
"Jul 02, 2019","174.40","174.40","174.40","174.40","-","0.85%"
"Jul 01, 2019","172.93","172.93","172.93","172.93","-","-1.38%"
"Jun 28, 2019","175.35","175.35","175.35","175.35","-","1.69%"
"Jun 27, 2019","172.44","172.44","172.44","172.44","-","-0.95%"
"Jun 26, 2019","174.09","174.09","174.09","174.09","-","-0.59%"
"Jun 25, 2019","175.13","175.13","175.13","175.13","-","0.38%"
"Jun 24, 2019","174.47","174.47","174.47","174.47","-","2.20%"
"Jun 21, 2019","170.71","170.71","170.71","170.71","-","2.16%"
"Jun 19, 2019","167.10","167.10","167.10","167.10","-","-0.45%"
"Jun 18, 2019","167.85","167.85","167.85","167.85","-","-0.29%"
"Jun 17, 2019","168.33","168.33","168.33","168.33","-","-0.31%"
"Jun 14, 2019","168.86","168.86","168.86","168.86","-","2.09%"
"Jun 13, 2019","165.41","165.41","165.41","165.41","-","-0.02%"
"Jun 12, 2019","165.45","165.45","165.45","165.45","-","1.14%"
"Jun 11, 2019","163.59","163.59","163.59","163.59","-","-1.77%"
"Jun 10, 2019","166.53","166.53","166.53","166.53","-","-0.02%"
"Jun 07, 2019","166.57","166.57","166.57","166.57","-","0.10%"
"Jun 06, 2019","166.41","166.41","166.41","166.41","-","0.10%"
"Jun 05, 2019","166.25","166.25","166.25","166.25","-","0.64%"
"Jun 04, 2019","165.19","165.19","165.19","165.19","-","-0.93%"
"Jun 03, 2019","166.74","166.74","166.74","166.74","-","1.55%"
"May 31, 2019","164.20","164.20","164.20","164.20","-","-0.21%"
"May 30, 2019","164.54","164.54","164.54","164.54","-","1.52%"
"May 29, 2019","162.08","162.08","162.08","162.08","-","-1.18%"
"May 28, 2019","164.02","164.02","164.02","164.02","-","-0.69%"
"May 27, 2019","165.16","165.16","165.16","165.16","-","-0.63%"
"May 24, 2019","166.20","166.20","166.20","166.20","-","-0.33%"
"May 23, 2019","166.75","166.75","166.75","166.75","-","0.89%"
"May 22, 2019","165.28","165.28","165.28","165.28","-","-0.63%"
"May 21, 2019","166.33","166.33","166.33","166.33","-","-1.14%"
"May 20, 2019","168.25","168.25","168.25","168.25","-","2.34%"
"May 17, 2019","164.41","164.41","164.41","164.41","-","-1.22%"
"May 16, 2019","166.44","166.44","166.44","166.44","-","-0.03%"
"May 15, 2019","166.49","166.49","166.49","166.49","-","0.64%"
"May 14, 2019","165.43","165.43","165.43","165.43","-","0.19%"
"May 13, 2019","165.12","165.12","165.12","165.12","-","1.55%"
"May 10, 2019","162.60","162.60","162.60","162.60","-","-0.02%"
"May 09, 2019","162.64","162.64","162.64","162.64","-","0.16%"
"May 08, 2019","162.38","162.38","162.38","162.38","-","-0.82%"
"May 07, 2019","163.73","163.73","163.73","163.73","-","0.29%"
"May 06, 2019","163.25","163.25","163.25","163.25","-","1.22%"
"May 03, 2019","161.29","161.29","161.29","161.29","-","0.47%"
"May 02, 2019","160.53","160.53","160.53","160.53","-","-0.91%"
"Apr 30, 2019","162.00","162.00","162.00","162.00","-","1.83%"
"Apr 29, 2019","159.09","159.09","159.09","159.09","-","-1.54%"
"Apr 26, 2019","161.58","161.58","161.58","161.58","-","-0.20%"
"Apr 25, 2019","161.91","161.91","161.91","161.91","-","-0.15%"
"Apr 24, 2019","162.16","162.16","162.16","162.16","-","0.60%"
"Apr 23, 2019","161.20","161.20","161.20","161.20","-","-0.33%"
"Apr 22, 2019","161.74","161.74","161.74","161.74","-","0.92%"
"Apr 18, 2019","160.27","160.27","160.27","160.27","-","-0.34%"
"Apr 17, 2019","160.82","160.82","160.82","160.82","-","1.56%"
"Apr 16, 2019","158.35","158.35","158.35","158.35","-","-1.28%"
"Apr 15, 2019","160.40","160.40","160.40","160.40","-","-0.43%"
"Apr 12, 2019","161.09","161.09","161.09","161.09","-","0.39%"
"Apr 11, 2019","160.46","160.46","160.46","160.46","-","-0.34%"
