"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 19, 2019","1,381.90","1,367.20","1,381.60","1,366.00","0.19K","3.94%"
"Feb 18, 2019","1,329.55","1,324.35","1,330.75","1,324.05","-","0.40%"
"Feb 17, 2019","1,324.25","1,324.65","1,324.95","1,323.85","-","0.47%"
"Feb 15, 2019","1,318.10","1,313.60","1,318.80","1,313.60","0.19K","0.63%"
"Feb 14, 2019","1,309.80","1,305.00","1,311.80","1,301.60","0.86K","-3.16%"
"Feb 13, 2019","1,352.60","1,354.00","1,354.00","1,346.50","0.01K","3.32%"
"Feb 12, 2019","1,309.20","1,310.00","1,312.00","1,307.60","0.11K","-2.98%"
"Feb 11, 2019","1,349.40","1,347.60","1,347.60","1,347.60","0.00K","-0.49%"
"Feb 08, 2019","1,356.00","1,355.10","1,355.10","1,355.10","0.00K","0.31%"
"Feb 07, 2019","1,351.80","1,347.60","1,351.10","1,347.30","0.10K","-0.01%"
"Feb 06, 2019","1,352.00","1,354.80","1,354.80","1,354.80","0.00K","-0.36%"
"Feb 05, 2019","1,356.90","1,356.60","1,356.60","1,356.60","0.08K","0.03%"
"Feb 04, 2019","1,356.50","1,352.00","1,352.00","1,352.00","0.00K","3.01%"
"Feb 01, 2019","1,316.90","1,320.30","1,320.70","1,315.40","0.88K","-3.34%"
"Jan 31, 2019","1,362.40","1,366.30","1,366.40","1,366.30","0.02K","0.68%"
"Jan 30, 2019","1,353.20","1,352.10","1,363.60","1,352.10","0.08K","0.04%"
"Jan 29, 2019","1,352.70","1,351.00","1,354.40","1,351.00","0.00K","0.42%"
"Jan 28, 2019","1,347.10","1,343.30","1,346.20","1,343.30","0.02K","0.43%"
"Jan 25, 2019","1,341.30","1,334.00","1,341.50","1,334.00","0.05K","1.39%"
"Jan 24, 2019","1,322.90","1,324.70","1,325.10","1,324.70","0.00K","3.10%"
"Jan 23, 2019","1,283.10","1,281.70","1,283.90","1,278.70","0.01K","0.05%"
"Jan 22, 2019","1,282.50","1,283.30","1,283.30","1,283.20","0.01K","0.27%"
